,file_path,length,label
0,0016/Sad/train/0016_001336.wav,107424,
1,0020/Happy/train/0020_000876.wav,102768,
2,0017/Angry/train/0017_000526.wav,102352,
3,0014/Sad/train/0014_001277.wav,98816,
4,0014/Neutral/train/0014_000176.wav,94560,
5,0020/Sad/train/0020_001226.wav,93584,
6,0016/Sad/train/0016_001226.wav,92608,
7,0012/Surprise/train/0012_001655.wav,91680,
8,0014/Angry/train/0014_000577.wav,90864,
9,0012/Sad/train/0012_001324.wav,90560,
10,0020/Happy/train/0020_000955.wav,89984,
11,0012/Sad/train/0012_001336.wav,89264,
12,0013/Happy/train/0013_000955.wav,88656,
13,0020/Happy/train/0020_000848.wav,88304,
14,0014/Neutral/train/0014_000227.wav,88176,
15,0019/Surprise/train/0019_001576.wav,88096,
16,0016/Sad/train/0016_001257.wav,88000,
17,0019/Sad/train/0019_001226.wav,87872,
18,0014/Sad/train/0014_001305.wav,87360,
19,0015/Angry/train/0015_000605.wav,86944,
20,0013/Happy/train/0013_000974.wav,86576,
21,0020/Happy/train/0020_000974.wav,86464,
22,0020/Sad/train/0020_001277.wav,86416,
23,0019/Happy/train/0019_000876.wav,85616,
24,0020/Sad/train/0020_001198.wav,85568,
25,0020/Happy/train/0020_000927.wav,85472,
26,0018/Sad/train/0018_001305.wav,85440,
27,0013/Surprise/train/0013_001576.wav,85312,
28,0012/Surprise/train/0012_001627.wav,85280,
29,0012/Happy/train/0012_000955.wav,84429,
30,0015/Sad/train/0015_001226.wav,84368,
31,0013/Sad/train/0013_001226.wav,84016,
32,0014/Angry/train/0014_000605.wav,83696,
33,0018/Sad/train/0018_001109.wav,83568,
34,0018/Sad/train/0018_001226.wav,83040,
35,0017/Angry/train/0017_000660.wav,83040,
36,0017/Angry/train/0017_000577.wav,83008,
37,0012/Surprise/train/0012_001607.wav,82880,
38,0013/Angry/train/0013_000498.wav,82688,
39,0020/Sad/train/0020_001305.wav,82256,
40,0013/Angry/train/0013_000494.wav,82208,
41,0020/Sad/train/0020_001336.wav,82048,
42,0015/Sad/train/0015_001305.wav,81616,
43,0020/Sad/train/0020_001324.wav,81552,
44,0017/Angry/train/0017_000624.wav,81456,
45,0013/Angry/train/0013_000509.wav,81392,
46,0013/Angry/train/0013_000605.wav,81232,
47,0014/Angry/train/0014_000526.wav,81216,
48,0019/Happy/train/0019_000955.wav,81200,
49,0013/Happy/train/0013_000876.wav,80992,
50,0014/Neutral/train/0014_000286.wav,80848,
51,0017/Sad/train/0017_001305.wav,80752,
52,0020/Happy/train/0020_000926.wav,80640,
53,0020/Happy/train/0020_001040.wav,80544,
54,0013/Angry/train/0013_000526.wav,80448,
55,0014/Sad/train/0014_001324.wav,80320,
56,0014/Neutral/train/0014_000255.wav,79936,
57,0013/Surprise/train/0013_001655.wav,79936,
58,0012/Surprise/train/0012_001674.wav,79792,
59,0020/Sad/train/0020_001164.wav,79680,
60,0013/Angry/train/0013_000690.wav,79520,
61,0016/Sad/train/0016_001277.wav,79232,
62,0017/Sad/train/0017_001324.wav,79072,
63,0015/Sad/train/0015_001324.wav,79024,
64,0013/Sad/train/0013_001277.wav,78976,
65,0017/Angry/train/0017_000494.wav,78960,
66,0015/Neutral/train/0015_000255.wav,78928,
67,0020/Sad/train/0020_001329.wav,78720,
68,0014/Happy/train/0014_000955.wav,78640,
69,0016/Angry/train/0016_000526.wav,78560,
70,0014/Sad/train/0014_001226.wav,78416,
71,0016/Sad/train/0016_001324.wav,78400,
72,0020/Surprise/train/0020_001576.wav,78368,
73,0013/Angry/train/0013_000624.wav,78208,
74,0017/Angry/train/0017_000658.wav,78112,
75,0014/Neutral/train/0014_000274.wav,77808,
76,0013/Angry/train/0013_000577.wav,77808,
77,0020/Happy/train/0020_001005.wav,77760,
78,0012/Neutral/train/0012_000255.wav,77694,
79,0014/Happy/train/0014_000759.wav,77680,
80,0016/Sad/train/0016_001305.wav,77664,
81,0013/Happy/train/0013_000927.wav,77648,
82,0014/Sad/train/0014_001336.wav,77600,
83,0014/Sad/train/0014_001109.wav,77552,
84,0020/Sad/train/0020_001121.wav,77520,
85,0014/Angry/train/0014_000655.wav,77472,
86,0016/Sad/train/0016_001109.wav,77424,
87,0013/Sad/train/0013_001305.wav,77424,
88,0018/Neutral/train/0018_000176.wav,77216,
89,0011/Neutral/train/0011_000176.wav,77072,
90,0017/Angry/train/0017_000605.wav,77040,
91,0015/Sad/train/0015_001277.wav,77040,
92,0012/Surprise/train/0012_001708.wav,76944,
93,0013/Surprise/train/0013_001674.wav,76864,
94,0015/Neutral/train/0015_000176.wav,76608,
95,0012/Surprise/train/0012_001576.wav,76608,
96,0020/Sad/train/0020_001261.wav,76432,
97,0017/Angry/train/0017_000464.wav,76384,
98,0013/Surprise/train/0013_001627.wav,76224,
99,0019/Sad/train/0019_001360.wav,76208,
100,0017/Angry/train/0017_000659.wav,76160,
101,0014/Angry/train/0014_000624.wav,76080,
102,0014/Sad/train/0014_001261.wav,76000,
103,0020/Happy/train/0020_000899.wav,75888,
104,0013/Angry/train/0013_000464.wav,75840,
105,0020/Happy/train/0020_000933.wav,75840,
106,0019/Happy/train/0019_000927.wav,75824,
107,0019/Surprise/train/0019_001607.wav,75808,
108,0014/Surprise/train/0014_001655.wav,75664,
109,0020/Sad/train/0020_001132.wav,75392,
110,0017/Angry/train/0017_000655.wav,75360,
111,0014/Sad/train/0014_001343.wav,75328,
112,0012/Sad/train/0012_001305.wav,75306,
113,0019/Surprise/train/0019_001655.wav,75232,
114,0020/Sad/train/0020_001179.wav,75200,
115,0012/Happy/train/0012_000876.wav,75136,
116,0019/Surprise/train/0019_001627.wav,75024,
117,0014/Neutral/train/0014_000293.wav,74992,
118,0020/Sad/train/0020_001109.wav,74880,
119,0015/Sad/train/0015_001164.wav,74832,
120,0012/Surprise/train/0012_001529.wav,74820,
121,0015/Neutral/train/0015_000274.wav,74816,
122,0020/Sad/train/0020_001358.wav,74800,
123,0015/Angry/train/0015_000421.wav,74704,
124,0014/Happy/train/0014_000876.wav,74704,
125,0013/Angry/train/0013_000660.wav,74688,
126,0019/Angry/train/0019_000526.wav,74688,
